scheme,k,silhouette
combined_cat+kmeans,25,0.196
combined_cat+kmeans,30,0.2106
combined_cat+kmeans,40,0.2204
combined_cat+kmeans,50,0.2213
combined_cat+kmeans,60,0.2342
combined_cat+kmeans,75,0.2302
combined_cat+kmeans,100,0.2461
combined_cat+kmeans,125,0.2685
combined_cat+kmeans,150,0.2442
combined+kmeans,25,0.2311
combined+kmeans,30,0.2469
combined+kmeans,40,0.2656
combined+kmeans,50,0.2691
combined+kmeans,60,0.2528
combined+kmeans,75,0.2415
combined+kmeans,100,0.2108
combined+kmeans,125,0.191
combined+kmeans,150,0.1712
