scheme,k,silhouette
meta+kmeans,5,0.072
meta+kmeans,8,0.0881
meta+kmeans,10,0.0963
meta+kmeans,15,0.0956
meta+kmeans,20,0.1073
meta+kmeans,25,0.1096
meta+kmeans,30,0.1143
meta+kmeans,40,0.12
meta+kmeans,50,0.1212
meta+gmm,5,0.0521
meta+gmm,8,0.0729
meta+gmm,10,0.0754
meta+gmm,15,0.0919
meta+gmm,20,0.1012
meta+gmm,25,0.0865
meta+gmm,30,0.0974
meta+gmm,40,0.0987
meta+gmm,50,0.102
combined+kmeans,5,0.1257
combined+kmeans,8,0.1478
combined+kmeans,10,0.1685
combined+kmeans,15,0.2018
combined+kmeans,20,0.2271
combined+kmeans,25,0.2431
combined+kmeans,30,0.2553
combined+kmeans,40,0.2739
combined+kmeans,50,0.2782
combined+gmm,5,0.0954
combined+gmm,8,0.0765
combined+gmm,10,0.0856
combined+gmm,15,0.1511
combined+gmm,20,0.1841
combined+gmm,25,0.1875
combined+gmm,30,0.1967
combined+gmm,40,0.1711
combined+gmm,50,0.197
