gmap_id,name,latitude,longitude,avg_rating,borough,cluster
0x89c25bb23e0eec35:0xe8a6498dea29132b,Juice Press,40.6861719,-73.97870549999999,3.4,Brooklyn,19
0x89c2f66f3042f479:0x172b4f8be062dba2,Fruces Juice Bar,40.818205,-73.95298,4.8,Manhattan,19
0x89c25c9f49530213:0x7c4553a0f41d77eb,StephLova's Cafe,40.6496932,-73.930506,4.7,Brooklyn,5
0x89c25fbab51c07c9:0xddf3086c28d36082,C & C Italian Deli 2,40.703238,-73.867469,4.1,Queens,37
0x89c261ad81cd9fef:0x9d5b0b0835e5bfc1,湘当有料Young and Rich,40.7618164,-73.83274349999999,4.1,Queens,29
0x89c259cfd197c453:0xd566a7f7fabd5c07,Rawbar,40.7280149,-74.0016103,4.6,Manhattan,5
0x89c2585f83b03beb:0x2d9f34a36d32190f,David Geffen Hall Café,40.7726426,-73.983504,3.7,Manhattan,11
0x89c24546770495b9:0x1626cc2f4b681fc1,Great Wall,40.6289454,-74.0122264,4.6,Brooklyn,13
0x89c259f744b20deb:0xb536eb5ee402f92f,FREEHOLD In The Park,40.736449799999995,-73.9899257,4.2,Manhattan,2
0x89c24c3254069039:0x49ac713f165882d,Uncle Louie G watchogue road,40.615955799999995,-74.1383409,4.7,Staten Island,10
0x89c25edec4154c3d:0x7b8c08aabc20f021,Paddy Duggan's Pub,40.7425567,-73.9173725,4.6,Queens,20
0x89c24544dcba20d9:0x81b7791c2791231e,月花坊 Moon Flower House,40.6372229,-74.0117163,2.9,Brooklyn,0
0x89c25f77d9f02b8b:0x4ec2c4e25dc8f309,The Coffee Pot,40.7669382,-73.9209872,3.8,Queens,43
0x89c25cff3a631bbb:0x166af390385ea3ce,China Panda,40.661654999999996,-73.894041,3.8,Brooklyn,13
0x89c266f5f8771b11:0xa6bbe853eccf8599,La Vie,40.6465307,-73.77659609999999,3.6,Queens,43
0x89c259b10d52b9d7:0xb0d748382e0ba4e1,Julietta Gelato Cafè,40.7336439,-74.0042752,4.4,Manhattan,49
0x89c24b375e7555c5:0xfc278236316bdf0b,The Pastrami Shoppe,40.5388923,-74.1483332,3.1,Staten Island,11
