gmap_id,total_chars,total_words,review_count,avg_rating,rating_std
0x4065f09c89f22c59:0x7866f7381c01c43a,740,130,17,4.764705882352941,0.5622957145383871
0x4065f13b58629d21:0x36ffffdc74503115,521,90,31,4.612903225806452,0.71542152399075
0x4065fa5574817035:0x55c809f95c507191,16828,3005,228,4.526315789473684,0.735632142267029
0x4065fb07133ab6ab:0x3374b3ca92991dc,13714,2537,232,4.125,1.2815287813061467
0x4065fb07d13773cf:0xf762188155e1ffc8,2156,366,56,4.0,1.2933395813657267
0x4065fb08f951ce9f:0xb6719b0c44de8cf2,24743,4366,266,4.533834586466165,0.8427168299933134
0x4065fbaaa5d7fbff:0x6757d8a4cd28e9a4,18526,3227,294,4.204081632653061,0.9045865347074966
0x4065fcde1d91ff89:0x9b45afd93bddb6ce,1665,292,21,4.238095238095238,1.0910894511799618
0x4065fcdfe9c102f5:0x15e100288f1fd00c,7528,1414,158,4.044303797468355,1.2885825753967264
0x4065fce77044c89f:0xc30f4f447b71c8b0,2112,364,19,4.315789473684211,0.8200698871944029
0x4065fce8515b924d:0xaed1813516a30bf8,24036,4314,397,4.244332493702771,0.9498800404203512
0x4065fce9a7d95e87:0x2c189d226817c2da,1303,246,18,2.888888888888889,1.8751906221184675
0x4065fd204595d11b:0x5571b56f32b8310d,61167,11263,813,3.990159901599016,1.0815977959176784
0x4065fd2072db6bd5:0xff48d80fdeff2205,3666,599,52,3.9423076923076925,1.0177534186216908
0x4065fd2182da474b:0x4ce97af5b7bc6aaa,932,168,19,4.578947368421052,0.606976978666884
0x4065fd219ce3595d:0x7795f37916391154,1324,222,13,5.0,0.0
0x4065fd233867a891:0x5e79b3ec2d17834,233659,40796,2738,4.114317019722425,1.0794555341517194
0x4065fd23d370467b:0xaafa03107a6c18f4,16540,2862,191,4.345549738219895,0.9267762952624854
0x4065fd23d49410cd:0x62e97c49859a6af7,2878,516,58,3.8448275862068964,1.2677058175804845
0x4065fd476208a275:0xb785d5c3723ad454,4690,840,45,4.4222222222222225,0.8657337636334566
0x406607e16b004a2d:0xf0267a34d37a0391,6630,1196,151,4.410596026490066,1.0910027386388355
0x4066089bbc965af5:0x7c4c9f9ae2284000,1680,311,17,3.4705882352941178,1.374665734770799
0x406608bab87b0215:0x46cd8cec387f6361,1413,244,21,4.476190476190476,0.8135752957807667
